Month,Ticker,Company_name,Stock_exchange,Industry,SIC_Code,ESG_Rating,ESG_Score
10,CATY,Cathay General Bancorp,NASDAQ,Financials,6022,C-,25.88753116
10,CB,Chubb Ltd,NYSE,Financials,6331,B-,52.43016481
10,CBB,Cincinnati Bell Inc,NYSE,Technology,4813,C,33.49420482
10,CBOE,Cboe Global Markets Inc,CBOE BZX,Financials,6231,C+,46.8040141
10,CBRE,CBRE Group Inc,NYSE,Real Estate,6531,A,85.22043484
10,CBRL,Cracker Barrel Old Country Store Inc,NASDAQ,Consumer Cyclicals,5812,C,33.6501285
10,CBSH,Commerce Bancshares Inc,NASDAQ,Financials,6022,D+,22.45026736
10,CBT,Cabot Corp,NYSE,Basic Materials,2869,A-,79.124218
10,CBU,Community Bank System Inc,NYSE,Financials,6029,C,39.77549336
10,CC,Chemours Co,NYSE,Basic Materials,2819,B+,68.2010309
10,CCI,Crown Castle International Corp,NYSE,Real Estate,6798,C-,31.85745788
10,CCMP,CMC Materials Inc,NASDAQ,Technology,3674,C+,48.83518268
10,CCOI,Cogent Communications Holdings Inc,NASDAQ,Technology,4899,D+,22.20996393
10,CCRN,Cross Country Healthcare Inc,NASDAQ,Industrials,7361,C,38.39839737
10,CCS,Century Communities Inc,NYSE,Consumer Cyclicals,1531,C,40.04677144
10,CDAY,Ceridian HCM Holding Inc,NYSE,Technology,7372,C-,25.43018651
10,CDK,CDK Global Inc,NASDAQ,Technology,7372,B-,54.90185072
10,CDNS,Cadence Design Systems Inc,NASDAQ,Technology,7372,B+,72.61774162
10,CDW,CDW Corp,NASDAQ,Technology,7373,B-,51.17794421
10,CE,Celanese Corp,NYSE,Basic Materials,2821,C,36.99821268
10,CEIX,CONSOL Energy Inc,NYSE,Energy,1221,B,59.76935645
10,CENT,Central Garden & Pet Co,NASDAQ,Consumer Non-Cyclicals,5999,D,12.28420177
10,CENX,Century Aluminum Co,NASDAQ,Basic Materials,3334,D+,21.90599619
10,CERN,Cerner Corp,NASDAQ,Healthcare,7374,C-,32.5258537
